index	name	cifti_name
79	L_VentralAttn_79	Parcel_79
80	L_VentralAttn_80	Parcel_80
81	L_CinguloOperc_81	Parcel_81
82	L_CinguloOperc_82	Parcel_82
83	L_Salience_83	Parcel_83
84	L_CinguloOperc_84	Parcel_84
85	L_VentralAttn_85	Parcel_85
86	L_VentralAttn_86	Parcel_86
87	L_DorsalAttn_87	Parcel_87
88	L_DorsalAttn_88	Parcel_88
89	L_CinguloParietal_89	Parcel_89
90	L_Visual_90	Parcel_90
91	L_DorsalAttn_91	Parcel_91
92	L_DorsalAttn_92	Parcel_92
93	L_CinguloParietal_93	Parcel_93
94	L_Default_94	Parcel_94
95	L_DorsalAttn_95	Parcel_95
96	L_FrontoParietal_96	Parcel_96
97	L_Visual_97	Parcel_97
98	L__98	Parcel_98
99	L_Visual_99	Parcel_99
100	L__100	Parcel_100
101	L_CinguloOperc_101	Parcel_101
102	L_Auditory_102	Parcel_102
103	L_CinguloOperc_103	Parcel_103
104	L_Auditory_104	Parcel_104
105	L_CinguloOperc_105	Parcel_105
106	L_DorsalAttn_106	Parcel_106
107	L_DorsalAttn_107	Parcel_107
108	L_FrontoParietal_108	Parcel_108
109	L_FrontoParietal_109	Parcel_109
110	L_DorsalAttn_110	Parcel_110
111	L_CinguloOperc_111	Parcel_111
112	L_CinguloOperc_112	Parcel_112
113	L_DorsalAttn_113	Parcel_113
114	L_Default_114	Parcel_114
115	L_None_115	Parcel_115
116	L_Default_116	Parcel_116
117	L_Default_117	Parcel_117
118	L_None_118	Parcel_118
119	L_None_119	Parcel_119
120	L_None_120	Parcel_120
121	L_None_121	Parcel_121
122	L_None_122	Parcel_122
123	L_None_123	Parcel_123
124	L_None_124	Parcel_124
125	L_None_125	Parcel_125
126	L__126	Parcel_126
127	L__127	Parcel_127
128	L__128	Parcel_128
129	L_None_129	Parcel_129
130	L__130	Parcel_130
131	L__131	Parcel_131
132	L__132	Parcel_132
133	L__133	Parcel_133
134	L__134	Parcel_134
135	L__135	Parcel_135
136	L__136	Parcel_136
137	L_Visual_137	Parcel_137
138	L__138	Parcel_138
139	L__139	Parcel_139
140	L__140	Parcel_140
141	L__141	Parcel_141
142	L__142	Parcel_142
143	L__143	Parcel_143
144	L__144	Parcel_144
145	L_Default_145	Parcel_145
146	L_Default_146	Parcel_146
147	L_CinguloOperc_147	Parcel_147
148	L_FrontoParietal_148	Parcel_148
149	L_FrontoParietal_149	Parcel_149
150	L_Default_150	Parcel_150
151	L_Default_151	Parcel_151
152	L_Default_152	Parcel_152
153	L_CinguloOperc_153	Parcel_153
154	L_Default_154	Parcel_154
155	L_DorsalAttn_155	Parcel_155
156	L_Default_156	Parcel_156
157	L_Default_157	Parcel_157
158	L_VentralAttn_158	Parcel_158
159	L_None_159	Parcel_159
160	L__160	Parcel_160
161	L__161	Parcel_161
162	R_Default_162	Parcel_162
163	R_SMhand_163	Parcel_163
164	R_SMmouth_164	Parcel_164
165	R_Default_165	Parcel_165
166	R_Visual_166	Parcel_166
167	R_FrontoParietal_167	Parcel_167
168	R_FrontoParietal_168	Parcel_168
169	R_Visual_169	Parcel_169
170	R_FrontoParietal_170	Parcel_170
171	R_Auditory_171	Parcel_171
172	R_None_172	Parcel_172
173	R_CinguloParietal_173	Parcel_173
174	R_RetrosplenialTemporal_174	Parcel_174
175	R_Visual_175	Parcel_175
176	R_Visual_176	Parcel_176
177	R_Visual_177	Parcel_177
178	R_None_178	Parcel_178
179	R_None_179	Parcel_179
180	R_CinguloOperc_180	Parcel_180
181	R_CinguloOperc_181	Parcel_181
182	R_FrontoParietal_182	Parcel_182
183	R_Salience_183	Parcel_183
184	R_Default_184	Parcel_184
185	R_CinguloOperc_185	Parcel_185
186	R_Default_186	Parcel_186
187	R_CinguloOperc_187	Parcel_187
188	R_CinguloOperc_188	Parcel_188
189	R_DorsalAttn_189	Parcel_189
190	R_SMhand_190	Parcel_190
191	R_SMhand_191	Parcel_191
192	R_CinguloOperc_192	Parcel_192
193	R_SMhand_193	Parcel_193
194	R_SMhand_194	Parcel_194
195	R_SMhand_195	Parcel_195
196	R_CinguloOperc_196	Parcel_196
197	R_SMmouth_197	Parcel_197
198	R_CinguloOperc_198	Parcel_198
199	R_DorsalAttn_199	Parcel_199
200	R_Default_200	Parcel_200
201	R_SMhand_201	Parcel_201
202	R_SMhand_202	Parcel_202
203	R_DorsalAttn_203	Parcel_203
204	R_SMhand_204	Parcel_204
205	R_SMhand_205	Parcel_205
206	R_SMhand_206	Parcel_206
207	R_SMhand_207	Parcel_207
208	R_DorsalAttn_208	Parcel_208
209	R_SMhand_209	Parcel_209
210	R_SMhand_210	Parcel_210
211	R_DorsalAttn_211	Parcel_211
212	R_SMmouth_212	Parcel_212
213	R_SMhand_213	Parcel_213
214	R_SMhand_214	Parcel_214
215	R_SMhand_215	Parcel_215
216	R_SMhand_216	Parcel_216
217	R_SMhand_217	Parcel_217
218	R_SMmouth_218	Parcel_218
219	R_CinguloOperc_219	Parcel_219
220	R_Default_220	Parcel_220
221	R_VentralAttn_221	Parcel_221
222	R_VentralAttn_222	Parcel_222
223	R_CinguloOperc_223	Parcel_223
224	R_Auditory_224	Parcel_224
225	R_Default_225	Parcel_225
226	R_VentralAttn_226	Parcel_226
227	R_Auditory_227	Parcel_227
228	R_VentralAttn_228	Parcel_228
229	R_VentralAttn_229	Parcel_229
230	R_Auditory_230	Parcel_230
231	R_VentralAttn_231	Parcel_231
232	R_Auditory_232	Parcel_232
233	R_Auditory_233	Parcel_233
234	R_CinguloOperc_234	Parcel_234
235	R_CinguloOperc_235	Parcel_235
236	R_DorsalAttn_236	Parcel_236
237	R_VentralAttn_237	Parcel_237
238	R_CinguloOperc_238	Parcel_238
239	R_Auditory_239	Parcel_239
240	R_FrontoParietal_240	Parcel_240
241	R_VentralAttn_241	Parcel_241
242	R_VentralAttn_242	Parcel_242
243	R_VentralAttn_243	Parcel_243
244	R_Auditory_244	Parcel_244
245	R_CinguloOperc_245	Parcel_245
246	R_CinguloOperc_246	Parcel_246
247	R_Salience_247	Parcel_247
248	R_CinguloOperc_248	Parcel_248
249	R_CinguloOperc_249	Parcel_249
250	R_DorsalAttn_250	Parcel_250
251	R_Visual_251	Parcel_251
252	R_DorsalAttn_252	Parcel_252
253	R_DorsalAttn_253	Parcel_253
254	R_CinguloParietal_254	Parcel_254
255	R_Visual_255	Parcel_255
256	R_Visual_256	Parcel_256
257	R_Default_257	Parcel_257
258	R_Visual_258	Parcel_258
259	R_Default_259	Parcel_259
260	R_FrontoParietal_260	Parcel_260
261	R_FrontoParietal_261	Parcel_261
262	R_DorsalAttn_262	Parcel_262
263	R_Visual_263	Parcel_263
264	R_Visual_264	Parcel_264
265	R_Visual_265	Parcel_265
266	R_DorsalAttn_266	Parcel_266
267	R_Visual_267	Parcel_267
268	R_Auditory_268	Parcel_268
269	R_Auditory_269	Parcel_269
270	R_SMhand_270	Parcel_270
271	R_DorsalAttn_271	Parcel_271
272	R_FrontoParietal_272	Parcel_272
273	R_FrontoParietal_273	Parcel_273
274	R_CinguloOperc_274	Parcel_274
275	R_DorsalAttn_275	Parcel_275
276	R_FrontoParietal_276	Parcel_276
277	R_FrontoParietal_277	Parcel_277
278	R_Default_278	Parcel_278
279	R_Default_279	Parcel_279
280	R_None_280	Parcel_280
281	R_None_281	Parcel_281
282	R_None_282	Parcel_282
283	R_None_283	Parcel_283
284	R_None_284	Parcel_284
285	R_None_285	Parcel_285
286	R_None_286	Parcel_286
287	R_None_287	Parcel_287
288	R_None_288	Parcel_288
289	R_None_289	Parcel_289
290	R_Default_290	Parcel_290
291	R_None_291	Parcel_291
292	R_None_292	Parcel_292
293	R_Visual_293	Parcel_293
294	R_RetrosplenialTemporal_294	Parcel_294
295	R_RetrosplenialTemporal_295	Parcel_295
296	R_None_296	Parcel_296
297	R_None_297	Parcel_297
298	R_Visual_298	Parcel_298
299	R_Visual_299	Parcel_299
300	R_None_300	Parcel_300
301	R_None_301	Parcel_301
302	R_None_302	Parcel_302
303	R_None_303	Parcel_303
304	R_None_304	Parcel_304
305	R_None_305	Parcel_305
306	R_None_306	Parcel_306
307	R_Visual_307	Parcel_307
308	R_Visual_308	Parcel_308
309	R_Visual_309	Parcel_309
310	R_Visual_310	Parcel_310
311	R_Visual_311	Parcel_311
312	R_None_312	Parcel_312
313	R_RetrosplenialTemporal_313	Parcel_313
314	R_None_314	Parcel_314
315	R_Default_315	Parcel_315
316	R_Default_316	Parcel_316
317	R_CinguloOperc_317	Parcel_317
318	R_CinguloOperc_318	Parcel_318
319	R_FrontoParietal_319	Parcel_319
320	R_FrontoParietal_320	Parcel_320
321	R_Default_321	Parcel_321
322	R_Default_322	Parcel_322
323	R_Default_323	Parcel_323
324	R_Default_324	Parcel_324
325	R_Default_325	Parcel_325
326	R_Default_326	Parcel_326
327	R_FrontoParietal_327	Parcel_327
328	R_FrontoParietal_328	Parcel_328
329	R_Auditory_329	Parcel_329
330	R_Auditory_330	Parcel_330
331	R_Default_331	Parcel_331
332	R_VentralAttn_332	Parcel_332
333	R_VentralAttn_333	Parcel_333
