index	label	cifti_label	network_label
228	R_Insula_5	Label_228	Insula
229	R_DorsalAttn_13	Label_229	DorsalAttn
230	R_DorsalAttn_14	Label_230	DorsalAttn
231	R_DorsalAttn_15	Label_231	DorsalAttn
232	R_AntFrontoParietal_4	Label_232	AntFrontoParietal
233	R_AntDefault_14	Label_233	AntDefault
234	R_MedOrbitoFrontal_4	Label_234	MedOrbitoFrontal
235	R_LatOrbitoFrontal_7	Label_235	LatOrbitoFrontal
236	R_AntFrontoParietal_5	Label_236	AntFrontoParietal
237	R_Salience_16	Label_237	Salience
238	R_Salience_17	Label_238	Salience
239	R_AntDefault_15	Label_239	AntDefault
240	R_AntDefault_16	Label_240	AntDefault
241	R_AntDefault_17	Label_241	AntDefault
242	R_PostDefault_30	Label_242	PostDefault
243	R_PostDefault_31	Label_243	PostDefault
244	R_VentralAttn_13	Label_244	VentralAttn
245	R_MedialVisual_27	Label_245	MedialVisual
246	R_MedialVisual_28	Label_246	MedialVisual
247	R_MedialVisual_29	Label_247	MedialVisual
248	R_None_3	Label_248	Unassigned
249	R_MedialVisual_30	Label_249	MedialVisual
250	R_LateralVisual_23	Label_250	LateralVisual
251	R_LateralVisual_24	Label_251	LateralVisual
252	R_LateralVisual_25	Label_252	LateralVisual
253	R_LateralVisual_26	Label_253	LateralVisual
254	R_MedialVisual_31	Label_254	MedialVisual
255	R_MedialVisual_32	Label_255	MedialVisual
256	R_MedialVisual_33	Label_256	MedialVisual
257	R_MedialVisual_34	Label_257	MedialVisual
258	R_MedialVisual_35	Label_258	MedialVisual
259	R_MedialVisual_36	Label_259	MedialVisual
260	R_MedialVisual_37	Label_260	MedialVisual
261	R_MedialVisual_38	Label_261	MedialVisual
262	R_MedialVisual_39	Label_262	MedialVisual
263	R_MedialVisual_40	Label_263	MedialVisual
264	R_MedialVisual_41	Label_264	MedialVisual
265	R_MedialVisual_42	Label_265	MedialVisual
266	R_None_4	Label_266	Unassigned
267	R_MedialVisual_43	Label_267	MedialVisual
268	R_AntDefault_18	Label_268	AntDefault
269	R_AntFrontoParietal_6	Label_269	AntFrontoParietal
270	R_AntDefault_19	Label_270	AntDefault
271	R_AntFrontoParietal_7	Label_271	AntFrontoParietal
272	R_AntDefault_20	Label_272	AntDefault
273	R_AntFrontoParietal_8	Label_273	AntFrontoParietal
274	R_AntDefault_21	Label_274	AntDefault
275	R_AntDefault_22	Label_275	AntDefault
276	R_AntDefault_23	Label_276	AntDefault
277	R_AntFrontoParietal_9	Label_277	AntFrontoParietal
278	R_AntFrontoParietal_10	Label_278	AntFrontoParietal
279	R_AntDefault_24	Label_279	AntDefault
280	R_AntDefault_25	Label_280	AntDefault
281	R_Auditory_16	Label_281	Auditory
282	R_VentralAttn_14	Label_282	VentralAttn
283	R_VentralAttn_15	Label_283	VentralAttn
